Data,Valor,Tipo,CentroCusto,Detalhe,Banco
2024-05-11,0.0,Entrada,Conta,Convenios,SUS
2024-05-11,0.0,Saída,Dinheiro,,
2024-05-11,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-11,0.0,Saída,Pagamentos, ,Santander
2024-05-11,0.0,Entrada,Laboratorio,Crédito,
2024-05-11,0.0,Entrada,Laboratorio,Débito,
2024-05-11,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-11,0.0,Saída,Pix,,
2024-05-11,0.0,Entrada,Clinica,Débito,
2024-05-13,0.0,Entrada,Conta,Convenios,SUS
2024-05-13,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-13,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-13,0.0,Saída,Pagamentos, ,C6
2024-05-13,0.0,Entrada,Clinica,Débito,
2024-05-13,0.0,Entrada,Laboratorio,Pix,
2024-05-13,290.0,Entrada,Laboratorio,Dinheiro,
2024-05-13,0.0,Entrada,Conta,Convenios,SESI
2024-05-13,0.0,Entrada,Laboratorio,Crédito,
2024-05-13,0.0,Entrada,Clinica,Crédito,
2024-05-13,1820.4700000000005,Saída,Pagamentos, ,Santander
2024-05-13,95.0,Entrada,Clinica,Pix,
2024-05-13,991.58,Saída,Dinheiro,,
2024-05-13,0.0,Entrada,Conta,Convenios,IPES
2024-05-13,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-13,0.0,Saída,Pix,,
2024-05-13,0.0,Entrada,Laboratorio,Débito,
2024-05-13,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-14,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-14,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-14,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-14,354.0,Entrada,Laboratorio,Dinheiro,
2024-05-14,2983.81,Saída,Pagamentos, ,Santander
2024-05-14,0.0,Entrada,Conta,Convenios,SESI
2024-05-14,0.0,Entrada,Conta,Convenios,IPES
2024-05-14,0.0,Entrada,Laboratorio,Débito,
2024-05-14,0.0,Entrada,Clinica,Débito,
2024-05-14,1263.4199999999998,Saída,Pix,,
2024-05-14,50.0,Entrada,Laboratorio,Pix,
2024-05-14,310.0,Entrada,Clinica,Crédito,
2024-05-14,0.0,Saída,Pagamentos, ,C6
2024-05-14,585.0,Entrada,Clinica,Pix,
2024-05-14,0.0,Entrada,Conta,Convenios,SUS
2024-05-14,1354.5,Saída,Dinheiro,,
2024-05-14,19.74,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-14,424.83,Entrada,Laboratorio,Crédito,
2024-05-15,283.92,Saída,Pagamentos, ,Santander
2024-05-15,0.0,Entrada,Laboratorio,Débito,
2024-05-15,3454.75,Saída,Dinheiro,,
2024-05-15,0.0,Entrada,Conta,Convenios,SUS
2024-05-15,56.65999999999997,Saída,Pagamentos,Tarifa,Santander
2024-05-15,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-15,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-15,0.0,Entrada,Conta,Convenios,IPES
2024-05-15,0.0,Saída,Pagamentos, ,C6
2024-05-15,0.0,Entrada,Laboratorio,Pix,
2024-05-15,90.9,Entrada,Laboratorio,Crédito,
2024-05-15,862.0,Entrada,Laboratorio,Dinheiro,
2024-05-15,2010.0,Entrada,Clinica,Pix,
2024-05-15,27.3,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-15,0.0,Entrada,Conta,Convenios,SESI
2024-05-15,1150.0,Entrada,Clinica,Crédito,
2024-05-15,0.0,Entrada,Clinica,Débito,
2024-05-15,3500.0,Saída,Pix,,
2024-05-16,0.0,Entrada,Conta,Convenios,IPES
2024-05-16,2007.96,Saída,Dinheiro,,
2024-05-16,0.0,Entrada,Laboratorio,Débito,
2024-05-16,0.0,Saída,Pix,,
2024-05-16,57.0,Entrada,Laboratorio,Pix,
2024-05-16,245.0,Entrada,Clinica,Pix,
2024-05-16,671.9,Entrada,Laboratorio,Crédito,
2024-05-16,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-16,700.25,Saída,Pagamentos, ,Santander
2024-05-16,56.860000000000014,Saída,Pagamentos,Tarifa,Santander
2024-05-16,220.0,Entrada,Laboratorio,Dinheiro,
2024-05-16,0.0,Entrada,Conta,Convenios,SESI
2024-05-16,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-16,0.0,Entrada,Conta,Convenios,SUS
2024-05-16,0.0,Entrada,Clinica,Crédito,
2024-05-16,0.0,Entrada,Clinica,Débito,
2024-05-16,0.0,Saída,Pagamentos, ,C6
2024-05-16,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-17,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-17,0.0,Entrada,Clinica,Débito,
2024-05-17,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-17,350.0,Entrada,Laboratorio,Dinheiro,
2024-05-17,248.0,Saída,Dinheiro,,
2024-05-17,0.0,Entrada,Conta,Convenios,IPES
2024-05-17,0.0,Entrada,Conta,Convenios,SESI
2024-05-17,0.0,Entrada,Clinica,Crédito,
2024-05-17,290.6,Entrada,Laboratorio,Crédito,
2024-05-17,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-17,0.0,Entrada,Laboratorio,Débito,
2024-05-17,120.0,Entrada,Clinica,Pix,
2024-05-17,0.0,Saída,Pagamentos, ,C6
2024-05-17,200.0,Saída,Pagamentos, ,Santander
2024-05-17,357.0,Saída,Pix,,
2024-05-17,382.0,Entrada,Laboratorio,Pix,
2024-05-17,156.96000000000004,Saída,Pagamentos,Tarifa,Santander
2024-05-17,0.0,Entrada,Conta,Convenios,SUS
2024-05-18,0.0,Saída,Pagamentos, ,Santander
2024-05-18,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-18,0.0,Entrada,Laboratorio,Débito,
2024-05-18,370.0,Entrada,Clinica,Pix,
2024-05-18,0.0,Entrada,Laboratorio,Crédito,
2024-05-18,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-18,0.0,Entrada,Laboratorio,Dinheiro,
2024-05-18,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-18,400.0,Saída,Dinheiro,,
2024-05-18,0.0,Entrada,Clinica,Débito,
2024-05-18,0.0,Entrada,Clinica,Crédito,
2024-05-18,0.0,Entrada,Conta,Convenios,IPES
2024-05-18,0.0,Saída,Pagamentos, ,C6
2024-05-18,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-18,39.0,Saída,Pix,,
2024-05-18,11.0,Entrada,Laboratorio,Pix,
2024-05-18,0.0,Entrada,Conta,Convenios,SESI
2024-05-18,0.0,Entrada,Conta,Convenios,SUS
2024-05-20,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-20,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-20,414.0,Entrada,Clinica,Pix,
2024-05-20,0.0,Entrada,Laboratorio,Débito,
2024-05-20,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-20,420.0,Entrada,Laboratorio,Dinheiro,
2024-05-20,0.0,Entrada,Clinica,Débito,
2024-05-20,0.0,Entrada,Laboratorio,Crédito,
2024-05-20,0.0,Entrada,Conta,Convenios,SESI
2024-05-20,0.0,Entrada,Conta,Convenios,SUS
2024-05-20,750.0,Saída,Pix,,
2024-05-20,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-20,0.0,Entrada,Conta,Convenios,IPES
2024-05-20,528.24,Saída,Dinheiro,,
2024-05-20,65.0,Entrada,Laboratorio,Pix,
2024-05-20,0.0,Saída,Pagamentos, ,Santander
2024-05-20,0.0,Entrada,Clinica,Crédito,
2024-05-20,0.0,Saída,Pagamentos, ,C6
2024-05-21,950.0,Entrada,Clinica,Pix,
2024-05-21,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-21,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-21,0.0,Entrada,Laboratorio,Pix,
2024-05-21,1345.4,Saída,Pix,,
2024-05-21,0.0,Entrada,Conta,Convenios,SESI
2024-05-21,188.0,Entrada,Laboratorio,Dinheiro,
2024-05-21,15.670000000000016,Saída,Pagamentos,Tarifa,Santander
2024-05-21,125.0,Entrada,Clinica,Débito,
2024-05-21,0.0,Saída,Pagamentos, ,C6
2024-05-21,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-21,21.0,Entrada,Laboratorio,Crédito,
2024-05-21,0.0,Entrada,Conta,Convenios,SUS
2024-05-21,0.0,Entrada,Conta,Convenios,IPES
2024-05-21,1614.5,Saída,Dinheiro,,
2024-05-21,0.0,Entrada,Laboratorio,Débito,
2024-05-21,0.0,Saída,Pagamentos, ,Santander
2024-05-21,280.0,Entrada,Clinica,Crédito,
2024-05-22,0.0,Entrada,Clinica,Débito,
2024-05-22,2600.0,Saída,Pagamentos, ,C6
2024-05-22,378.0,Entrada,Clinica,Pix,
2024-05-22,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-22,1000.94,Saída,Pix,,
2024-05-22,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-22,0.0,Saída,Pagamentos, ,Santander
2024-05-22,0.0,Entrada,Clinica,Crédito,
2024-05-22,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-22,0.0,Entrada,Conta,Convenios,IPES
2024-05-22,16900.05,Entrada,Conta,Convenios,SUS
2024-05-22,10.599999999999994,Saída,Pagamentos,Tarifa,Santander
2024-05-22,0.0,Entrada,Conta,Convenios,SESI
2024-05-22,484.0,Entrada,Laboratorio,Pix,
2024-05-22,624.8299999999999,Saída,Dinheiro,,
2024-05-22,0.0,Entrada,Laboratorio,Débito,
2024-05-22,78.0,Entrada,Laboratorio,Dinheiro,
2024-05-22,186.4,Entrada,Laboratorio,Crédito,
2024-05-23,0.0,Entrada,Laboratorio,Débito,
2024-05-23,300.0,Entrada,Laboratorio,Crédito,
2024-05-23,1439.0,Saída,Pix,,
2024-05-23,914.0,Saída,Dinheiro,,
2024-05-23,0.0,Saída,Pagamentos, ,Santander
2024-05-23,41.79999999999996,Saída,Pagamentos,Tarifa,Santander
2024-05-23,0.0,Entrada,Conta,Convenios,IPES
2024-05-23,458.0,Entrada,Clinica,Crédito,
2024-05-23,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-23,1620.0,Entrada,Clinica,Pix,
2024-05-23,353.0,Entrada,Laboratorio,Dinheiro,
2024-05-23,0.0,Entrada,Conta,Convenios,SESI
2024-05-23,680.0,Entrada,Laboratorio,Pix,
2024-05-23,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-23,2367.88,Saída,Pagamentos, ,C6
2024-05-23,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-23,0.0,Entrada,Conta,Convenios,SUS
2024-05-23,0.0,Entrada,Clinica,Débito,
2024-05-24,579.0,Entrada,Laboratorio,Pix,
2024-05-24,28.55000000000001,Saída,Pagamentos,Tarifa,Santander
2024-05-24,0.0,Entrada,Conta,Convenios,IPES
2024-05-24,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-24,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-24,0.0,Entrada,Clinica,Débito,
2024-05-24,260.0,Saída,Pagamentos, ,Santander
2024-05-24,0.0,Entrada,Conta,Convenios,SUS
2024-05-24,16.93,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-24,0.0,Saída,Pix,,
2024-05-24,2749.0,Saída,Dinheiro,,
2024-05-24,320.0,Entrada,Clinica,Pix,
2024-05-24,1950.0,Saída,Pagamentos, ,C6
2024-05-24,310.0,Entrada,Clinica,Crédito,
2024-05-24,205.0,Entrada,Laboratorio,Dinheiro,
2024-05-24,0.0,Entrada,Laboratorio,Débito,
2024-05-24,0.0,Entrada,Laboratorio,Crédito,
2024-05-24,0.0,Entrada,Conta,Convenios,SESI
2024-05-25,0.0,Entrada,Conta,Convenios,SESI
2024-05-25,256.0,Entrada,Laboratorio,Pix,
2024-05-25,0.0,Saída,Pagamentos, ,C6
2024-05-25,0.0,Entrada,Laboratorio,Débito,
2024-05-25,0.0,Saída,Pix,,
2024-05-25,0.0,Entrada,Conta,Convenios,SUS
2024-05-25,0.0,Entrada,Conta,Convenios,IPES
2024-05-25,0.0,Entrada,Clinica,Débito,
2024-05-25,0.0,Entrada,Laboratorio,Crédito,
2024-05-25,1694.65,Saída,Dinheiro,,
2024-05-25,480.0,Entrada,Clinica,Pix,
2024-05-25,350.0,Entrada,Clinica,Crédito,
2024-05-25,0.0,Saída,Pagamentos, ,Santander
2024-05-25,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-25,235.0,Entrada,Laboratorio,Dinheiro,
2024-05-25,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-25,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-25,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-27,0.0,Entrada,Conta,Convenios,SESI
2024-05-27,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-27,1135.0,Entrada,Clinica,Pix,
2024-05-27,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-27,0.0,Saída,Pagamentos, ,C6
2024-05-27,320.0,Entrada,Laboratorio,Dinheiro,
2024-05-27,65.88999999999994,Saída,Pagamentos,Tarifa,Santander
2024-05-27,59.0,Entrada,Laboratorio,Pix,
2024-05-27,0.0,Entrada,Conta,Convenios,SUS
2024-05-27,685.0,Entrada,Clinica,Crédito,
2024-05-27,1425.0,Saída,Pix,,
2024-05-27,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-27,0.0,Entrada,Conta,Convenios,IPES
2024-05-27,297.8,Entrada,Laboratorio,Crédito,
2024-05-27,841.5,Saída,Dinheiro,,
2024-05-27,100.0,Entrada,Clinica,Débito,
2024-05-27,0.0,Saída,Pagamentos, ,Santander
2024-05-27,0.0,Entrada,Laboratorio,Débito,
2024-05-28,0.0,Entrada,Conta,Convenios,SESI
2024-05-28,5976.200000000001,Saída,Pagamentos, ,C6
2024-05-28,681.46,Saída,Pagamentos, ,Santander
2024-05-28,184.0,Entrada,Clinica,Crédito,
2024-05-28,14.869999999999948,Saída,Pagamentos,Tarifa,Santander
2024-05-28,298.0,Entrada,Laboratorio,Pix,
2024-05-28,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-28,120.0,Entrada,Laboratorio,Dinheiro,
2024-05-28,0.0,Entrada,Conta,Convenios,IPES
2024-05-28,493.0,Saída,Pix,,
2024-05-28,0.0,Entrada,Conta,Convenios,SUS
2024-05-28,0.0,Entrada,Clinica,Débito,
2024-05-28,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-28,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-28,316.4,Entrada,Laboratorio,Débito,
2024-05-28,210.0,Entrada,Clinica,Pix,
2024-05-28,1210.0,Saída,Dinheiro,,
2024-05-28,21.0,Entrada,Laboratorio,Crédito,
2024-05-29,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-29,0.0,Entrada,Clinica,Débito,
2024-05-29,121.6,Entrada,Laboratorio,Débito,
2024-05-29,209.0,Entrada,Laboratorio,Dinheiro,
2024-05-29,580.0,Entrada,Clinica,Crédito,
2024-05-29,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-29,3693.96,Saída,Pagamentos, ,C6
2024-05-29,2735.0,Entrada,Clinica,Dinheiro,
2024-05-29,30.8,Entrada,Laboratorio,Crédito,
2024-05-29,469.15,Entrada,Laboratorio,Pix,
2024-05-29,0.0,Entrada,Conta,Convenios,SESI
2024-05-29,730.0,Saída,Pix,,
2024-05-29,480.0,Saída,Pagamentos, ,Santander
2024-05-29,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-29,0.0,Entrada,Conta,Convenios,SUS
2024-05-29,1050.0,Entrada,Clinica,Pix,
2024-05-29,2858.3,Saída,Dinheiro,,
2024-05-29,17108.54,Entrada,Conta,Convenios,IPES
2024-05-29,37.86999999999996,Saída,Pagamentos,Tarifa,Santander
2024-05-31,80.0,Entrada,Clinica,Pix,
2024-05-31,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-31,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-31,320.0,Saída,Dinheiro,,
2024-05-31,170.0,Entrada,Clinica,Dinheiro,
2024-05-31,0.0,Entrada,Clinica,Débito,
2024-05-31,0.0,Saída,Pix,,
2024-05-31,0.0,Entrada,Clinica,Crédito,
2024-05-31,227.0,Entrada,Laboratorio,Dinheiro,
2024-05-31,0.0,Entrada,Conta,Convenios,SUS
2024-05-31,0.0,Entrada,Laboratorio,Débito,
2024-05-31,0.0,Entrada,Conta,Convenios,IPES
2024-05-31,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-31,390.0,Entrada,Laboratorio,Pix,
2024-05-31,0.0,Entrada,Conta,Convenios,SESI
2024-05-31,100.0,Saída,Pagamentos, ,Santander
2024-05-31,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-31,0.0,Entrada,Laboratorio,Crédito,
2024-05-31,0.0,Saída,Pagamentos, ,C6
2024-06-03,674.11,Saída,Pix,,
2024-06-03,175.0,Entrada,Clinica,Crédito,Mercado Pago
2024-06-03,0.0,Saída,Comissões,Pix,
2024-06-03,0.0,Entrada,Clinica,Débito,Mercado Pago
2024-06-03,772.04,Saída,Pagamentos, ,C6
2024-06-03,0.0,Entrada,Clinica,Crédito,Santander
2024-06-03,0.0,Saída,Pagamentos,Financiamento,BNB
2024-06-03,0.0,Entrada,Clinica,Débito,Santander
2024-06-03,590.0,Saída,Pagamentos, ,Santander
2024-06-03,53.150000000000006,Saída,Pagamentos,Tarifa,Santander
2024-06-03,1192.25,Entrada,Clinica,Pix,
2024-06-03,303.0,Entrada,Laboratorio,Pix,
2024-06-03,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-06-03,271.33,Reforço,,,
2024-06-03,797.0,Saída,Dinheiro,,
2024-06-03,175.5,Entrada,Laboratorio,Crédito,Santander
2024-06-03,0.0,Entrada,Conta,Convenios,IPES
2024-06-03,0.0,Entrada,Laboratorio,Crédito,Mercado Pago
2024-06-03,0.0,Entrada,Conta,Convenios,SUS
2024-06-03,183.0,Entrada,Laboratorio,Débito,Santander
2024-06-03,17.32,Saída,Pagamentos,Tarifa,Mercado Pago
2024-06-03,149.0,Entrada,Laboratorio,Dinheiro,
2024-06-03,0.0,Entrada,Conta,Convenios,SESI
2024-06-03,0.0,Entrada,Laboratorio,Débito,Mercado Pago
2024-06-03,560.0,Entrada,Clinica,Dinheiro,
2024-06-04,13.86,Saída,Pagamentos,Tarifa,Mercado Pago
2024-06-04,183.33,Reforço,,,
2024-06-04,0.0,Entrada,Clinica,Débito,Mercado Pago
2024-06-04,0.0,Entrada,Conta,Convenios,IPES
2024-06-04,1396.73,Saída,Pagamentos, ,C6
2024-06-04,0.0,Entrada,Conta,Convenios,SUS
2024-06-04,294.0,Entrada,Laboratorio,Dinheiro,
2024-06-04,495.0,Entrada,Clinica,Crédito,Santander
2024-06-04,2947.37,Saída,Dinheiro,,
2024-06-04,0.0,Entrada,Clinica,Débito,Santander
2024-06-04,0.0,Saída,Pagamentos,Financiamento,BNB
2024-06-04,0.0,Entrada,Laboratorio,Crédito,Mercado Pago
2024-06-04,0.0,Entrada,Laboratorio,Crédito,Santander
2024-06-04,685.0,Entrada,Clinica,Pix,
2024-06-04,63.0,Entrada,Laboratorio,Pix,
2024-06-04,0.0,Saída,Comissões,Pix,
2024-06-04,140.0,Entrada,Clinica,Crédito,Mercado Pago
2024-06-04,3260.0,Entrada,Clinica,Dinheiro,
2024-06-04,2956.91,Saída,Pagamentos, ,Santander
2024-06-04,0.0,Entrada,Laboratorio,Débito,Mercado Pago
2024-06-04,0.0,Entrada,Laboratorio,Débito,Santander
2024-06-04,0.0,Saída,Pix,,
